name,count,lat,lon
مهرجان نوبا,161,31.398337,34.470135
بئيري,146,31.423711,34.492502
رِعيم,91,31.385920,34.458855
كفار عَزّه,80,31.483276,34.532376
مِفلَسيم,70,31.501738,34.561727
نير عوز,59,31.309575,34.402115
موقع ناحَل عوز,52,31.479863,34.501497
سدروت,50,31.522367,34.595525
أوفكيم,32,31.306574,34.619872
علوميم,32,31.452787,34.514705
مفرق شاعر هنيجِف,32,31.507986,34.586910
مفرق جمِّة,31,31.381046,34.447567
كُيسوفيم,30,31.374448,34.399156
نتيف هعَسَراه,22,31.571985,34.539533
شاطئ زيكيم,18,31.612634,34.504554
صوفا,17,31.237328,34.342273
حوليت,16,31.229671,34.326655
ناحََل عوز,16,31.472556,34.497724
موقع كيسوفيم,15,31.374727,34.402202
معبر غيرز,14,31.558166,34.544310
تل جِمِّة,14,31.387092,34.445559
موقع باغا,13,31.450581,34.470236
مفرق مفطاحيم,13,31.256870,34.403087
معسكر أوريم,11,31.313478,34.542860
نير يتسحاق,9,31.235902,34.356814
يخيني,8,31.481737,34.598624
معسكر زيكيم,8,31.603148,34.510125
نيريم,8,31.335623,34.394119
مفرق معون,8,31.313554,34.439247
معسكر رِعيم,7,31.362868,34.447040
ثكنة عند مدخل علوميم,7,31.451694,34.515003
مفطاحيم,6,31.242338,34.407501
أبو قرينات,4,31.102913,34.951911
كيرم شالوم,4,31.227824,34.284429
عين هَشلوشاه,4,31.351551,34.403271
أشكلون,3,31.668413,34.574911
بين سعد وناحَل عوز,3,31.472776,34.515703
ناحَل جْرار,3,31.385662,34.634824
نتيفوت,3,31.421094,34.587314
بري جان,3,31.221644,34.356017
كُحلَه,2,31.288408,35.054154
نير عام,2,31.518629,34.580779
مفرق سديروت جنوب,2,31.516383,34.586595
كفار أفيف,1,31.829781,34.722831
عميعوز,1,31.247652,34.413649
عرعرة النقب,1,31.158784,35.012966
